iid,gender,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1
151,0,28.0,international affairs - economic development,13.0,2.0,1.0,2.0,3.0,3.0,1.0,international development work,9.0,5.0,1.0,8.0,10.0,9.0,8.0,8.0,4.0,1.0,8.0,1.0,9.0,8.0,9.0,10.0,7.0,7.0,14.55,16.36,18.18,18.18,16.36,16.36,23.81,14.29,16.67,19.05,14.29,11.9,9.0,10.0,10.0,10.0,8.0
152,0,27.0,Political Science,13.0,4.0,2.0,3.0,1.0,4.0,3.0,professor,2.0,4.0,1.0,4.0,8.0,9.0,8.0,5.0,5.0,7.0,10.0,5.0,9.0,10.0,9.0,9.0,7.0,1.0,14.0,20.0,20.0,14.0,18.0,14.0,24.32,13.51,13.51,24.32,8.11,16.22,7.0,9.0,10.0,8.0,8.0
153,0,28.0,Modern Chinese Literature,7.0,4.0,1.0,1.0,2.0,6.0,3.0,professor,2.0,8.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,10.0,6.0,7.0,9.0,7.0,7.0,8.0,5.0,9.76,19.51,19.51,14.63,19.51,17.07,23.53,17.65,14.71,14.71,14.71,14.71,7.0,7.0,7.0,6.0,6.0
154,0,27.0,MBA,8.0,2.0,8.0,3.0,6.0,4.0,1.0,finance,7.0,10.0,7.0,8.0,8.0,6.0,6.0,6.0,1.0,6.0,8.0,7.0,7.0,8.0,6.0,6.0,3.0,2.0,15.38,17.31,17.31,17.31,17.31,15.38,16.67,16.67,16.67,16.67,16.67,16.67,8.0,9.0,9.0,9.0,9.0
155,0,27.0,business,8.0,2.0,5.0,1.0,2.0,5.0,1.0,Nonprofit,9.0,2.0,1.0,10.0,10.0,7.0,8.0,5.0,1.0,1.0,10.0,4.0,10.0,9.0,5.0,7.0,7.0,4.0,15.09,18.87,18.87,16.98,16.98,13.21,21.95,14.63,12.2,21.95,9.76,19.51,7.0,10.0,8.0,6.0,9.0
156,0,30.0,Business,8.0,1.0,1.0,1.0,2.0,6.0,3.0,Marketing and Media,7.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,14.0,18.0,16.0,18.0,18.0,16.0,18.87,15.09,15.09,18.87,15.09,16.98,8.0,10.0,9.0,10.0,10.0
157,0,28.0,"Business, marketing",8.0,4.0,5.0,3.0,1.0,6.0,1.0,Brand Management,7.0,8.0,7.0,8.0,8.0,6.0,6.0,9.0,2.0,9.0,7.0,4.0,6.0,7.0,5.0,6.0,6.0,3.0,14.29,16.33,16.33,18.37,18.37,16.33,23.26,16.28,13.95,16.28,13.95,16.28,7.0,8.0,8.0,9.0,9.0
158,1,23.0,physics (astrophysics),10.0,2.0,3.0,4.0,4.0,6.0,2.0,"physicist, probably academia",2.0,2.0,4.0,4.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,5.0,8.0,4.0,9.0,5.0,1.0,19.05,19.05,19.05,19.05,9.52,14.29,15.22,19.57,19.57,19.57,8.7,17.39,7.0,9.0,9.0,7.0,6.0
159,1,28.0,Physics,10.0,2.0,7.0,2.0,1.0,6.0,2.0,Academic,2.0,7.0,7.0,6.0,9.0,9.0,8.0,6.0,4.0,5.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,2.0,15.91,20.45,20.45,20.45,11.36,11.36,14.81,18.52,18.52,16.67,14.81,16.67,5.0,9.0,9.0,8.0,7.0
160,1,29.0,Business/ Finance/ Real Estate,8.0,1.0,3.0,4.0,2.0,5.0,2.0,Real Estate/ Private Equity,8.0,9.0,8.0,10.0,6.0,6.0,4.0,3.0,4.0,8.0,6.0,3.0,7.0,9.0,6.0,9.0,3.0,2.0,16.0,18.0,18.0,18.0,14.0,16.0,14.29,20.41,16.33,16.33,18.37,14.29,8.0,8.0,8.0,9.0,9.0
161,1,22.0,Biochemistry,10.0,2.0,6.0,2.0,2.0,4.0,2.0,undecided,10.0,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,9.0,9.0,8.0,6.0,8.0,6.0,9.0,6.0,2.0,16.67,18.75,18.75,18.75,18.75,8.33,14.55,18.18,18.18,16.36,18.18,14.55,8.0,7.0,9.0,9.0,7.0
162,1,27.0,Biochemistry,10.0,4.0,1.0,1.0,2.0,6.0,2.0,pharmaceuticals and biotechnology,4.0,3.0,3.0,3.0,8.0,7.0,7.0,6.0,2.0,8.0,5.0,4.0,3.0,9.0,10.0,10.0,7.0,3.0,15.22,15.22,19.57,17.39,13.04,19.57,13.04,19.57,19.57,17.39,17.39,13.04,7.0,8.0,9.0,7.0,8.0
163,1,26.0,Art Education,9.0,2.0,1.0,1.0,4.0,3.0,3.0,college art teacher,2.0,6.0,2.0,2.0,4.0,8.0,8.0,4.0,1.0,1.0,8.0,1.0,6.0,6.0,4.0,6.0,2.0,1.0,12.0,20.0,20.0,20.0,16.0,12.0,14.29,14.29,14.29,23.81,14.29,19.05,7.0,8.0,9.0,8.0,7.0
164,1,27.0,Philosophy,7.0,2.0,1.0,1.0,1.0,6.0,2.0,academic,2.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,1.0,3.0,7.0,2.0,5.0,6.0,4.0,6.0,2.0,2.0,20.51,23.08,20.51,17.95,2.56,15.38,21.88,15.63,15.63,15.63,15.63,15.63,7.0,9.0,9.0,6.0,4.0
165,1,30.0,American Studies (Masters),13.0,2.0,4.0,7.0,3.0,6.0,3.0,Writer,6.0,3.0,1.0,6.0,6.0,7.0,7.0,2.0,1.0,1.0,10.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,16.67,12.5,20.83,18.75,12.5,18.75,9.09,20.45,18.18,20.45,13.64,18.18,8.0,6.0,9.0,7.0,2.0
166,1,26.0,Business,8.0,6.0,1.0,9.0,5.0,5.0,2.0,Finance,7.0,5.0,5.0,9.0,4.0,4.0,2.0,5.0,1.0,3.0,9.0,1.0,5.0,8.0,7.0,10.0,1.0,7.0,27.78,19.44,19.44,27.78,2.78,2.78,21.74,15.22,15.22,15.22,17.39,15.22,7.0,7.0,7.0,7.0,7.0
167,1,23.0,biology,10.0,2.0,1.0,1.0,2.0,6.0,2.0,professor,2.0,9.0,9.0,8.0,6.0,8.0,8.0,9.0,2.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0,3.0,2.0,18.6,13.95,18.6,16.28,16.28,16.28,13.64,18.18,20.45,13.64,15.91,18.18,6.0,7.0,7.0,7.0,5.0
168,1,23.0,Cell Biology,10.0,4.0,1.0,1.0,1.0,4.0,2.0,TBA,10.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,11.11,17.78,17.78,17.78,17.78,17.78,16.67,16.67,16.67,16.67,16.67,16.67,5.0,5.0,5.0,5.0,5.0
169,1,28.0,Microbiology,10.0,2.0,2.0,3.0,2.0,6.0,2.0,"Research scientist, professor",2.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,1.0,6.0,4.0,2.0,7.0,6.0,8.0,8.0,4.0,4.0,17.78,20.0,17.78,15.56,15.56,13.33,20.0,15.56,17.78,17.78,15.56,13.33,7.0,9.0,8.0,7.0,7.0
170,1,28.0,Biochemistry,10.0,4.0,2.0,1.0,1.0,5.0,3.0,Physician Scientist,4.0,2.0,1.0,8.0,8.0,8.0,8.0,5.0,3.0,1.0,9.0,8.0,7.0,8.0,6.0,8.0,4.0,5.0,16.28,20.93,18.6,18.6,13.95,11.63,17.78,15.56,15.56,17.78,20.0,13.33,7.0,8.0,9.0,6.0,8.0
171,1,29.0,Finance,8.0,2.0,1.0,1.0,1.0,4.0,2.0,Finance,7.0,8.0,2.0,8.0,8.0,5.0,5.0,5.0,2.0,8.0,9.0,6.0,6.0,9.0,4.0,9.0,7.0,1.0,19.57,10.87,19.57,19.57,19.57,10.87,15.22,15.22,19.57,19.57,19.57,10.87,10.0,10.0,10.0,10.0,10.0
172,1,27.0,Business,8.0,2.0,5.0,7.0,1.0,3.0,1.0,Management Consulting,7.0,7.0,8.0,7.0,8.0,4.0,5.0,5.0,6.0,8.0,7.0,4.0,6.0,8.0,8.0,7.0,6.0,3.0,17.78,17.78,22.22,20.0,15.56,6.67,17.39,17.39,19.57,17.39,17.39,10.87,5.0,6.0,8.0,9.0,9.0
173,1,22.0,math,2.0,2.0,5.0,7.0,1.0,4.0,1.0,professor,2.0,10.0,8.0,9.0,6.0,5.0,6.0,7.0,4.0,8.0,7.0,4.0,5.0,6.0,9.0,10.0,3.0,6.0,18.37,18.37,20.41,20.41,16.33,6.12,14.58,18.75,18.75,20.83,16.67,10.42,7.0,9.0,9.0,9.0,9.0
174,0,29.0,International Affairs/Finance,8.0,4.0,1.0,1.0,4.0,5.0,3.0,Finance,7.0,5.0,4.0,6.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,4.0,6.0,5.0,9.0,9.0,6.0,5.0,9.52,23.81,16.67,16.67,16.67,16.67,17.07,17.07,14.63,19.51,12.2,19.51,9.0,10.0,8.0,8.0,6.0
175,0,23.0,International Affairs,13.0,6.0,5.0,8.0,2.0,3.0,1.0,Business,7.0,8.0,2.0,6.0,8.0,7.0,7.0,3.0,3.0,6.0,6.0,5.0,6.0,5.0,6.0,9.0,5.0,3.0,12.24,20.41,16.33,14.29,20.41,16.33,22.22,11.11,13.33,20.0,17.78,15.56,7.0,10.0,8.0,8.0,9.0
176,0,28.0,MBA,8.0,4.0,10.0,1.0,2.0,6.0,3.0,Finance,7.0,7.0,6.0,5.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,3.0,13.04,21.74,19.57,17.39,15.22,13.04,18.75,18.75,16.67,18.75,12.5,14.58,6.0,9.0,8.0,7.0,6.0
177,0,22.0,international affairs/international finance,13.0,2.0,8.0,3.0,2.0,5.0,2.0,management consulting,7.0,5.0,9.0,6.0,8.0,6.0,4.0,2.0,3.0,7.0,9.0,7.0,6.0,7.0,3.0,4.0,5.0,1.0,15.09,16.98,16.98,16.98,18.87,15.09,25.0,15.0,15.0,17.5,12.5,15.0,9.0,9.0,9.0,8.0,9.0
178,0,35.0,Health policy,3.0,4.0,5.0,5.0,2.0,4.0,2.0,health policy,4.0,3.0,4.0,7.0,9.0,8.0,8.0,8.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,15.22,17.39,17.39,17.39,15.22,17.39,22.73,11.36,11.36,18.18,18.18,18.18,9.0,9.0,8.0,7.0,7.0
179,0,30.0,English and Comp Lit,6.0,3.0,5.0,1.0,1.0,6.0,3.0,academics,2.0,5.0,5.0,10.0,10.0,7.0,7.0,5.0,1.0,7.0,10.0,1.0,8.0,8.0,7.0,9.0,10.0,9.0,19.15,21.28,17.02,17.02,12.77,12.77,22.73,13.64,18.18,22.73,11.36,11.36,8.0,10.0,8.0,6.0,10.0
180,0,24.0,international finance and business,8.0,4.0,2.0,2.0,6.0,4.0,2.0,financial service or fashion,7.0,7.0,7.0,5.0,9.0,5.0,5.0,8.0,5.0,9.0,6.0,7.0,9.0,9.0,7.0,8.0,9.0,7.0,15.38,17.31,17.31,19.23,13.46,17.31,18.6,18.6,11.63,23.26,11.63,16.28,9.0,9.0,9.0,10.0,9.0
181,0,22.0,Sociomedical Sciences- School of Public Health,4.0,1.0,7.0,8.0,1.0,5.0,5.0,academic research,2.0,3.0,6.0,5.0,9.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,15.38,19.23,19.23,17.31,17.31,11.54,18.87,11.32,16.98,18.87,16.98,16.98,9.0,9.0,9.0,9.0,9.0
182,0,22.0,Epidemiology,4.0,1.0,7.0,5.0,1.0,4.0,3.0,Epidemiologist,4.0,5.0,6.0,2.0,8.0,3.0,2.0,1.0,4.0,1.0,7.0,8.0,2.0,6.0,4.0,10.0,8.0,1.0,16.07,17.86,17.86,17.86,17.86,12.5,19.23,15.38,15.38,17.31,15.38,17.31,8.0,8.0,8.0,8.0,10.0
183,0,24.0,Social work,11.0,2.0,1.0,1.0,1.0,7.0,3.0,boxing champ,6.0,9.0,6.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,1.0,20.0,22.5,17.5,22.5,10.0,7.5,23.68,21.05,13.16,23.68,15.79,2.63,9.0,7.0,9.0,9.0,7.0
184,1,34.0,International Business,8.0,2.0,1.0,1.0,2.0,4.0,2.0,International Business,7.0,5.0,2.0,4.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,3.0,9.0,8.0,5.0,6.0,2.0,8.0,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,6.0,10.0,9.0,7.0,5.0
185,1,25.0,Statistics,2.0,4.0,3.0,4.0,1.0,7.0,4.0,Paper Back Writer,6.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,16.98,15.09,16.98,16.98,18.87,15.09,16.36,18.18,14.55,18.18,18.18,14.55,10.0,10.0,8.0,7.0,8.0
186,1,24.0,Medical Informatics,5.0,4.0,4.0,3.0,1.0,7.0,3.0,Professor,2.0,5.0,1.0,4.0,9.0,5.0,3.0,6.0,1.0,1.0,6.0,7.0,4.0,7.0,8.0,8.0,6.0,3.0,19.44,19.44,22.22,16.67,11.11,11.11,15.79,13.16,21.05,18.42,21.05,10.53,4.0,8.0,7.0,4.0,6.0
187,1,26.0,"International Finance, Economic Policy",8.0,2.0,10.0,5.0,2.0,4.0,1.0,finance,7.0,3.0,5.0,10.0,5.0,10.0,10.0,1.0,2.0,1.0,10.0,5.0,8.0,8.0,10.0,10.0,1.0,1.0,16.98,16.98,18.87,16.98,13.21,16.98,15.09,18.87,15.09,18.87,18.87,13.21,8.0,9.0,10.0,7.0,7.0
188,1,21.0,electrical engineering,5.0,2.0,1.0,1.0,2.0,3.0,1.0,academician,2.0,2.0,1.0,5.0,10.0,8.0,8.0,5.0,7.0,5.0,7.0,3.0,5.0,5.0,5.0,7.0,7.0,3.0,15.56,11.11,22.22,15.56,20.0,15.56,14.29,14.29,19.05,19.05,19.05,14.29,7.0,5.0,10.0,7.0,10.0
189,1,27.0,Law and Social Work,1.0,6.0,6.0,1.0,1.0,6.0,2.0,Child Rights,9.0,8.0,7.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,9.0,7.0,8.0,4.0,7.0,16.98,16.98,16.98,16.98,16.98,15.09,16.98,16.98,16.98,16.98,16.98,15.09,8.0,8.0,8.0,8.0,9.0
190,1,25.0,International Development,13.0,2.0,1.0,1.0,2.0,7.0,3.0,Development work on field in the middle of nowhere,9.0,7.0,7.0,8.0,3.0,2.0,2.0,6.0,5.0,9.0,8.0,2.0,4.0,7.0,9.0,10.0,3.0,1.0,15.56,20.0,20.0,20.0,13.33,11.11,12.77,19.15,19.15,19.15,14.89,14.89,7.0,7.0,7.0,7.0,7.0
191,1,28.0,Business,8.0,2.0,6.0,1.0,5.0,4.0,2.0,Private Equity,7.0,8.0,1.0,7.0,8.0,6.0,6.0,6.0,1.0,8.0,7.0,3.0,4.0,8.0,4.0,7.0,1.0,7.0,20.45,20.45,20.45,18.18,18.18,2.27,9.09,20.45,18.18,15.91,20.45,15.91,7.0,7.0,7.0,6.0,8.0
192,1,24.0,Business/Law,8.0,2.0,2.0,7.0,1.0,6.0,2.0,Investment Management,7.0,7.0,5.0,7.0,7.0,3.0,2.0,6.0,8.0,7.0,9.0,6.0,3.0,6.0,7.0,8.0,4.0,5.0,19.57,19.57,15.22,17.39,15.22,13.04,14.0,18.0,14.0,20.0,18.0,16.0,7.0,10.0,9.0,9.0,10.0
193,1,25.0,law,1.0,4.0,2.0,2.0,1.0,6.0,2.0,lawyer,1.0,8.0,10.0,7.0,9.0,9.0,8.0,1.0,1.0,4.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,5.0,20.93,16.28,23.26,16.28,11.63,11.63,26.32,13.16,13.16,26.32,13.16,7.89,7.0,9.0,10.0,5.0,7.0
194,0,24.0,Clinical Psychology,3.0,2.0,9.0,9.0,3.0,3.0,2.0,Psychologist,3.0,8.0,6.0,6.0,9.0,6.0,6.0,4.0,8.0,7.0,9.0,9.0,6.0,9.0,5.0,7.0,9.0,4.0,16.0,16.0,20.0,16.0,18.0,14.0,20.0,12.0,16.0,20.0,14.0,18.0,9.0,10.0,10.0,8.0,10.0
195,0,27.0,microbiology,10.0,2.0,3.0,9.0,1.0,2.0,1.0,professional student,2.0,7.0,6.0,9.0,8.0,5.0,5.0,9.0,9.0,8.0,10.0,1.0,3.0,4.0,3.0,6.0,5.0,1.0,15.38,19.23,19.23,19.23,13.46,13.46,22.73,15.91,18.18,18.18,11.36,13.64,9.0,8.0,10.0,10.0,8.0
196,0,25.0,"Religion, GSAS",7.0,4.0,1.0,6.0,1.0,1.0,1.0,education,2.0,3.0,3.0,6.0,7.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,17.65,17.65,17.65,15.69,15.69,15.69,18.75,18.75,16.67,16.67,14.58,14.58,9.0,9.0,9.0,9.0,9.0
197,0,24.0,International Affairs and Public Health,13.0,6.0,2.0,1.0,1.0,4.0,3.0,Development work,7.0,6.0,1.0,4.0,10.0,8.0,8.0,4.0,7.0,5.0,9.0,6.0,5.0,10.0,8.0,10.0,7.0,3.0,14.0,18.0,20.0,18.0,16.0,14.0,23.81,14.29,19.05,16.67,14.29,11.9,7.0,8.0,9.0,9.0,7.0
198,0,23.0,International affairs,13.0,4.0,8.0,5.0,2.0,2.0,3.0,investment banking,7.0,6.0,8.0,6.0,9.0,8.0,8.0,9.0,5.0,7.0,4.0,9.0,9.0,9.0,9.0,9.0,10.0,4.0,15.38,19.23,17.31,19.23,9.62,19.23,25.64,17.95,12.82,15.38,15.38,12.82,7.0,9.0,9.0,7.0,7.0
199,0,30.0,History,7.0,2.0,2.0,1.0,4.0,5.0,3.0,Historian,2.0,8.0,3.0,10.0,10.0,10.0,10.0,1.0,1.0,7.0,10.0,4.0,7.0,8.0,3.0,5.0,7.0,1.0,17.5,17.5,20.0,12.5,20.0,12.5,31.25,15.63,9.38,18.75,9.38,15.63,9.0,7.0,9.0,7.0,9.0
200,0,25.0,Business and International Affairs (MBA/MIA Dual Degree),8.0,2.0,1.0,1.0,1.0,7.0,2.0,International Development,9.0,10.0,3.0,9.0,8.0,7.0,7.0,10.0,3.0,6.0,8.0,1.0,8.0,8.0,9.0,10.0,3.0,4.0,13.21,18.87,18.87,16.98,16.98,15.09,17.02,14.89,14.89,19.15,17.02,17.02,8.0,10.0,8.0,8.0,8.0
201,0,25.0,QMSS,8.0,2.0,8.0,8.0,1.0,4.0,2.0,Business,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,15.38,17.31,17.31,17.31,17.31,15.38,25.71,17.14,14.29,22.86,8.57,11.43,7.0,8.0,9.0,9.0,8.0
202,0,22.0,Mathematics,2.0,2.0,8.0,5.0,2.0,6.0,2.0,college professor,2.0,8.0,8.0,9.0,7.0,6.0,4.0,4.0,1.0,6.0,8.0,7.0,7.0,9.0,6.0,7.0,7.0,1.0,15.38,19.23,19.23,19.23,15.38,11.54,21.43,16.67,9.52,21.43,14.29,16.67,7.0,10.0,10.0,9.0,8.0
203,0,22.0,Mathematics,2.0,2.0,4.0,10.0,6.0,6.0,2.0,college professor,2.0,3.0,1.0,8.0,6.0,4.0,2.0,2.0,1.0,6.0,7.0,10.0,6.0,8.0,3.0,7.0,9.0,2.0,16.0,20.0,18.0,20.0,18.0,8.0,23.68,18.42,10.53,18.42,13.16,15.79,9.0,8.0,10.0,9.0,7.0
204,0,26.0,business,8.0,2.0,8.0,6.0,3.0,5.0,1.0,marketing / brand management,7.0,10.0,5.0,9.0,9.0,10.0,10.0,3.0,1.0,9.0,8.0,4.0,5.0,5.0,3.0,8.0,10.0,7.0,19.61,15.69,17.65,15.69,17.65,13.73,31.25,9.38,9.38,31.25,3.13,15.63,9.0,5.0,10.0,9.0,10.0
205,0,23.0,climate change,10.0,2.0,5.0,5.0,1.0,7.0,1.0,academic,2.0,8.0,2.0,6.0,8.0,6.0,6.0,7.0,2.0,6.0,9.0,3.0,3.0,8.0,5.0,6.0,3.0,5.0,15.38,17.31,19.23,19.23,11.54,17.31,21.43,11.9,11.9,19.05,19.05,16.67,7.0,8.0,10.0,9.0,5.0
206,0,31.0,Public Administration,8.0,1.0,2.0,2.0,1.0,5.0,1.0,UN Civil Servant,9.0,5.0,5.0,5.0,9.0,7.0,7.0,7.0,7.0,9.0,9.0,5.0,7.0,7.0,7.0,9.0,5.0,7.0,14.58,16.67,20.83,18.75,16.67,12.5,18.0,16.0,18.0,20.0,16.0,12.0,8.0,8.0,8.0,8.0,8.0
207,0,23.0,MA Biotechnology,10.0,2.0,9.0,5.0,1.0,3.0,1.0,IP Law,1.0,10.0,8.0,8.0,7.0,5.0,5.0,2.0,3.0,4.0,3.0,7.0,7.0,6.0,5.0,7.0,9.0,6.0,17.31,13.46,17.31,19.23,19.23,13.46,18.37,16.33,16.33,18.37,16.33,14.29,8.0,8.0,8.0,10.0,9.0
208,0,25.0,MA Biotechnology,10.0,1.0,2.0,1.0,2.0,4.0,3.0,Biotech/business,7.0,9.0,7.0,7.0,9.0,10.0,10.0,10.0,5.0,8.0,8.0,5.0,7.0,9.0,10.0,10.0,9.0,8.0,11.54,13.46,19.23,19.23,19.23,17.31,23.26,16.28,13.95,16.28,13.95,16.28,9.0,10.0,10.0,10.0,10.0
209,0,28.0,International Affairs/Business,13.0,1.0,7.0,3.0,3.0,6.0,2.0,Country Analysis/Research/Credit Analysis,7.0,3.0,2.0,6.0,8.0,5.0,5.0,6.0,8.0,8.0,3.0,6.0,7.0,8.0,7.0,10.0,3.0,3.0,13.04,21.74,17.39,17.39,15.22,15.22,20.93,13.95,13.95,18.6,13.95,18.6,7.0,9.0,7.0,8.0,8.0
210,0,29.0,Ecology,10.0,2.0,10.0,4.0,2.0,6.0,3.0,scientific research,2.0,9.0,3.0,9.0,8.0,9.0,9.0,9.0,1.0,2.0,9.0,5.0,7.0,7.0,7.0,7.0,5.0,1.0,20.0,15.56,20.0,15.56,11.11,17.78,25.0,22.22,13.89,13.89,2.78,22.22,8.0,8.0,9.0,6.0,9.0
211,0,28.0,International Affairs,13.0,2.0,9.0,1.0,2.0,4.0,1.0,Humanitarian Affairs/Human Rights,9.0,9.0,8.0,9.0,10.0,9.0,9.0,5.0,8.0,1.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,7.0,16.36,16.36,18.18,18.18,16.36,14.55,16.0,16.0,18.0,20.0,14.0,16.0,7.0,9.0,9.0,9.0,9.0
212,0,27.0,Master in Public Administration,8.0,3.0,3.0,6.0,1.0,5.0,2.0,Finance,7.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,3.0,14.29,18.37,18.37,16.33,18.37,14.29,22.5,15.0,15.0,22.5,12.5,12.5,7.0,9.0,8.0,7.0,9.0
213,0,25.0,International Affairs,13.0,3.0,9.0,10.0,2.0,4.0,2.0,International Business,7.0,8.0,7.0,9.0,8.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0,10.0,10.0,8.0,9.0,8.0,5.0,15.52,17.24,17.24,17.24,17.24,15.52,18.18,18.18,16.36,18.18,14.55,14.55,8.0,10.0,9.0,9.0,9.0
214,1,23.0,Computational Biochemsistry,10.0,2.0,6.0,8.0,1.0,6.0,2.0,Research Scientist,2.0,9.0,3.0,10.0,8.0,6.0,7.0,7.0,4.0,7.0,3.0,1.0,9.0,6.0,4.0,6.0,7.0,1.0,17.02,21.28,17.02,21.28,14.89,8.51,14.58,20.83,16.67,18.75,16.67,12.5,8.0,10.0,9.0,10.0,8.0
215,1,26.0,MBA,8.0,4.0,3.0,1.0,1.0,4.0,1.0,Finance,7.0,8.0,6.0,9.0,9.0,6.0,4.0,2.0,7.0,6.0,9.0,5.0,2.0,9.0,2.0,7.0,9.0,2.0,14.89,19.15,21.28,19.15,14.89,10.64,11.63,23.26,16.28,20.93,11.63,16.28,7.0,8.0,9.0,9.0,9.0
216,1,27.0,MBA,8.0,2.0,7.0,1.0,2.0,5.0,3.0,Consulting,7.0,2.0,1.0,2.0,7.0,7.0,5.0,3.0,5.0,1.0,13.0,6.0,6.0,7.0,6.0,5.0,2.0,1.0,7.5,17.5,20.0,22.5,12.5,20.0,19.57,17.39,15.22,17.39,17.39,13.04,5.0,10.0,9.0,9.0,10.0
217,1,26.0,Neurobiology,10.0,2.0,8.0,1.0,5.0,4.0,2.0,Academic Physician,2.0,1.0,2.0,8.0,7.0,8.0,8.0,10.0,1.0,2.0,10.0,4.0,8.0,6.0,10.0,10.0,1.0,7.0,21.28,17.02,21.28,12.77,6.38,21.28,12.24,20.41,20.41,16.33,16.33,14.29,7.0,10.0,10.0,7.0,10.0
218,1,24.0,Physics,10.0,2.0,9.0,5.0,1.0,4.0,2.0,Researcher,2.0,9.0,3.0,5.0,7.0,9.0,10.0,7.0,3.0,7.0,5.0,1.0,5.0,7.0,8.0,8.0,6.0,1.0,20.51,5.13,23.08,12.82,17.95,20.51,17.39,19.57,15.22,19.57,15.22,13.04,7.0,6.0,10.0,3.0,10.0
219,1,26.0,Business,8.0,2.0,1.0,1.0,1.0,3.0,2.0,Business,7.0,8.0,2.0,7.0,7.0,7.0,8.0,3.0,3.0,6.0,7.0,2.0,6.0,7.0,7.0,10.0,3.0,10.0,16.28,16.28,18.6,16.28,16.28,16.28,20.0,12.5,15.0,17.5,17.5,17.5,7.0,7.0,9.0,6.0,6.0
220,1,25.0,International Affairs,13.0,6.0,1.0,1.0,1.0,5.0,2.0,"Poet, Writer, Singer, Policy Maker with the UN and/or Indian Govt.",6.0,9.0,9.0,5.0,10.0,9.0,10.0,10.0,6.0,8.0,10.0,2.0,5.0,5.0,5.0,9.0,5.0,5.0,16.67,16.67,16.67,16.67,14.81,18.52,15.38,15.38,15.38,17.31,17.31,19.23,10.0,10.0,10.0,10.0,10.0
221,1,27.0,Business (MBA),8.0,4.0,6.0,1.0,2.0,6.0,3.0,Investment Banking,7.0,5.0,6.0,3.0,7.0,6.0,3.0,4.0,3.0,7.0,8.0,7.0,8.0,8.0,4.0,4.0,4.0,1.0,15.56,17.78,17.78,17.78,17.78,13.33,15.69,19.61,19.61,15.69,17.65,11.76,7.0,9.0,9.0,7.0,9.0
222,1,27.0,"Mathematics, PhD",2.0,2.0,8.0,3.0,2.0,6.0,3.0,Professor or Consultant,2.0,5.0,1.0,6.0,8.0,10.0,9.0,6.0,4.0,7.0,9.0,1.0,9.0,9.0,10.0,8.0,3.0,1.0,9.52,19.05,23.81,19.05,4.76,23.81,16.67,21.43,7.14,21.43,14.29,19.05,4.0,9.0,9.0,7.0,4.0
223,1,28.0,History (GSAS - PhD),7.0,2.0,6.0,6.0,2.0,4.0,2.0,History Professor,2.0,8.0,7.0,6.0,6.0,8.0,7.0,6.0,7.0,8.0,9.0,6.0,5.0,10.0,6.0,7.0,5.0,2.0,17.39,17.39,19.57,19.57,10.87,15.22,27.59,6.9,13.79,20.69,24.14,6.9,7.0,8.0,9.0,7.0,6.0
